0005;Monopatín;120000.0;18
0006;Scooter;350000.0;12
0007;Patines;220000.0;25
0008;Rodilleras;30000.0;60
0009;Coderas;28000.0;55
0010;Tobilleras;27000.0;45
0011;Skateboard;180000.0;22
0012;Bicicleta BMX;520000.0;10
0013;Bicicleta Montaña;680000.0;8
0014;Bicicleta Ruta;850000.0;6
0015;Patineta eléctrica;1200000.0;5
0016;Luces LED;15000.0;70
0017;Cascos juveniles;60000.0;45
0018;Protector cervical;90000.0;20
0019;Guantes PRO;45000.0;30
0020;Casco Pro;120000.0;12
0021;Candado;20000.0;50
0022;Multiherramienta;35000.0;35
0023;Botella deportiva;18000.0;80
0024;Camiseta ciclismo;95000.0;25
0025;Pantaloneta ciclismo;85000.0;22
0026;Zapatos ciclismo;210000.0;10
0027;Lentes deportivos;45000.0;40
0028;Cadena bicicleta;60000.0;15
0029;Sillín MTB;90000.0;18
0030;Pedales aluminio;55000.0;30
0031;Timón bicicleta;70000.0;20
0032;Tornillería;10000.0;100
0033;Cámara de aire;25000.0;70
0034;Llanta MTB;120000.0;12
0035;Llanta Ruta;145000.0;10
0036;Kit limpieza;30000.0;40
0037;Casco infantil;55000.0;35
0038;Patineta profesional;350000.0;7
0039;Grip tape;15000.0;50
0040;Ejes skate;80000.0;20
0041;Ruedas skate;90000.0;25
0042;Rodamientos ABEC7;35000.0;40
0043;Tabla skate;180000.0;15
0044;Herramienta skate;25000.0;32
0045;Bolso deportivo;60000.0;22
0046;Banda reflectiva;5000.0;100
0047;Maleta ciclismo;85000.0;18
0048;Casco aerodinámico;250000.0;8
0049;Tubular bicicleta;45000.0;30
0050;Freno disco;90000.0;14
0051;Llanta patineta eléctrica;180000.0;10
0052;Kit frenos;60000.0;20
0053;Casco profesional MTB;280000.0;6
0054;Protector muñeca;20000.0;55
0055;Protector espinilla;30000.0;40
0056;Protector codo PRO;35000.0;36
0057;Camiseta deportiva;30000.0;50
0058;Pantaloneta deportiva;28000.0;45
0059;Sudadera deportiva;60000.0;20
0060;Morral deportivo PRO;95000.0;12
0061;Gorra deportiva;18000.0;48
0062;Cronómetro;25000.0;22
0063;Guantes MTB;45000.0;33
0064;Kit luces bicicleta;40000.0;28
0065;Portabotella;12000.0;60
0066;Tula deportiva;25000.0;40
0067;Balón fútbol;35000.0;34
0068;Balón baloncesto;38000.0;28
0069;Balón voleibol;36000.0;27
0070;Conos entrenamiento;20000.0;45
0071;Cronómetro digital;35000.0;18
0072;Banda elástica;15000.0;50
0073;Mancuernas 5kg;60000.0;20
0074;Mancuernas 10kg;90000.0;15
0075;Colchoneta yoga;45000.0;30
0076;Taco yoga;20000.0;40
0077;Liga resistencia;25000.0;35
0078;Botella térmica;28000.0;40
0079;Casco ultraligero;230000.0;10
0080;Guantes PRO ciclismo;65000.0;25
0081;Rueda repuesto;45000.0;18
0082;Pedales plásticos;20000.0;40
0083;Sillín confort;75000.0;14
0084;Cable freno;15000.0;60
0085;Camiseta MTB;85000.0;16
0086;Pantalón MTB;95000.0;13
0087;Zapatillas running;150000.0;20
0088;Tennis entrenamiento;180000.0;18
0089;Short deportivo;22000.0;50
0090;Balaclava deportiva;18000.0;35
0091;Guantes invierno;30000.0;25
0092;Chaqueta rompeviento;120000.0;12
0093;Botella aluminio;22000.0;45
0094;Gafas MTB;50000.0;28
0095;Kit primeros auxilios;30000.0;20
0096;Pitos bicicleta;7000.0;65
0097;Protector cadena;20000.0;40
0098;Funda sillín gel;32000.0;25
0099;Camiseta térmica;70000.0;18
0100;Pantalón térmico;90000.0;14
